function_type,name,return_type,param_names,param_types,description
scalar,add,smallint,"col0,col1","smallint,smallint",Adds two smallint values
scalar,add,double,col0,double,Adds two double values
scalar,add,timestamp,"col0,col1","interval,date",Adds an interval to a date
scalar,add,timestamp with time zone,"col0,col1","date,time with time zone",Adds a date to a time with time zone
scalar,yearweek,bigint,ts,interval,Extract the yearweek component from a date or timestamp
scalar,array_dot_product,float,"array1,array2","array<float>,array<float>",Compute the inner product between two arrays of the same size. The array elements can not be NULL. The arrays can have any size as long as the size is the same for both arguments.
scalar,array_grade_up,array,"list,col1","array,varchar",Returns the index of their sorted position.
scalar,array_negative_inner_product,float,"array1,array2","array<float>,array<float>",Compute the negative inner product between two arrays of the same size. The array elements can not be NULL. The arrays can have any size as long as the size is the same for both arguments.
scalar,array_value,array,,,Create an ARRAY containing the argument values.
scalar,bit_count,tinyint,x,smallint,Returns the number of bits that are set
scalar,datediff,bigint,"part,startdate,enddate","varchar,timestamp,timestamp",The number of partition boundaries between the timestamps
scalar,datesub,bigint,"part,startdate,enddate","varchar,time,time",The number of complete partitions between the timestamps
scalar,date_diff,bigint,"part,startdate,enddate","varchar,timestamp,timestamp",The number of partition boundaries between the timestamps
scalar,dayname,varchar,ts,date,The (English) name of the weekday
scalar,dayofmonth,bigint,ts,timestamp,Extract the dayofmonth component from a date or timestamp
scalar,dayofyear,bigint,ts,interval,Extract the dayofyear component from a date or timestamp
scalar,dayofyear,bigint,ts,timestamp with time zone,Extract the dayofyear component from a date or timestamp
scalar,decade,bigint,ts,timestamp with time zone,Extract the decade component from a date or timestamp
scalar,typeof,varchar,expression,any,Returns the name of the data type of the result of the expression
scalar,txid_current,ubigint,,,Returns the current transaction’s ID (a BIGINT). It will assign a new one if the current transaction does not have one already
scalar,get_current_timestamp,timestamp with time zone,,,Returns the current timestamp
scalar,hamming,bigint,"str1,str2","varchar,varchar",The number of positions with different characters for 2 strings of equal length. Different case is considered different
scalar,icu_collate_fi,varchar,col0,varchar,Collates a string using Finnish collation rules
scalar,icu_collate_ja,varchar,col0,varchar,Collates a string using Japanese collation rules
scalar,icu_collate_ps,varchar,col0,varchar,Collates a string using Pashto collation rules
scalar,icu_collate_smn,varchar,col0,varchar,Collates a string using Inari Sami collation rules
scalar,icu_collate_te,varchar,col0,varchar,Collates a string using Telugu collation rules
scalar,icu_collate_zh_sg,varchar,col0,varchar,Collates a string using Simplified Chinese collation rules
scalar,icu_collate_zh_tw,varchar,col0,varchar,Collates a string using Traditional Chinese collation rules
scalar,isoyear,bigint,ts,date,Extract the isoyear component from a date or timestamp
scalar,transaction_timestamp,timestamp with time zone,,,Returns the current timestamp
scalar,json_array_length,ubigint,"col0,col1","json,varchar",Returns the length of a JSON array
