function_type,name,return_type,param_names,param_types,description
scalar,ceil,Numeric,,decimal,"Returns smallest integer greater than number."
scalar,floor,Numeric,,decimal,"Returns largest integer less than number."
scalar,pi,Float,,, "Returns value of PI."
scalar,getdate,Datetime,,, "Returns current date and time."
scalar,getutcdate,Datetime,,, "Returns current UTC date and time."
scalar,sysdatetime,Datetime2,,, "Returns date and time of SQL Server."
scalar,host_name,String,,, "Returns workstation name."
scalar,newid,Uniqueidentifier,,, "Returns new GUID."
scalar,user_name,String,,, "Returns database user name."
scalar,upper,String,,varchar,"Converts string to uppercase."
scalar,lower,String,,varchar,"Converts string to lowercase."
