function_type,name,return_type,param_names,param_types,description
scalar,tan,double,,,"Returns the tangent of a number."
scalar,sqrt,double,,,"Returns the square root of a number."
scalar,trim,varchar,,,"Trims the specified trim string from the start and end of a string. If no trim string is provided, all whitespace is removed from the start and end of the input string."
scalar,log10,double,,,"Returns the base-10 logarithm of a number."
scalar,nvl,varchar,,,"Returns _expression2_ if _expression1_ is NULL otherwise it returns _expression1_."
scalar,char_length,bigint,,,"Returns the number of characters in a string."
scalar,radians,double,,,"Converts degrees to radians."
scalar,ln,double,,,"Returns the natural logarithm of a number."
aggregate,bool_or,boolean,,,"Returns true if all non-null input values are true, otherwise false."
window,nth_value,same_as_input,,,"Returns the value evaluated at the nth row of the window frame (counting from 1). Returns NULL if no such row exists."
scalar,regexp_replace,varchar,,,"Replaces substrings in a string that match a regular expression."
scalar,date_format,varchar,,,"Returns a string representation of a date, time, timestamp or duration based on a format."
scalar,substr,varchar,,,"Extracts a substring of a specified number of characters from a specific starting position in a string."
scalar,ascii,int,,,"Returns the Unicode character code of the first character in a string."
scalar,regexp_instr,bigint,,,"Returns the position in a string where the specified occurrence of a POSIX regular expression is located."
scalar,character_length,bigint,,,"Returns the number of characters in a string."
aggregate,var_samp,double,,,"Returns the statistical sample variance of a set of numbers."
aggregate,var_pop,double,,,"Returns the statistical population variance of a set of numbers."
aggregate,array_agg,same_as_input_first_array_element,,,"Returns an array created from the expression elements."
scalar,floor,double,,,"Returns the nearest integer less than or equal to a number."
scalar,strpos,bigint,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0."
scalar,md5,varchar,,,"Computes an MD5 128-bit checksum for a string expression."
scalar,signum,int,,,"Returns the sign of a number."
scalar,date_trunc,datetime,,,"Truncates a timestamp value to a specified precision."
scalar,lower,varchar,,,"Converts a string to lower-case."
scalar,length,bigint,,,"Returns the number of characters in a string."
scalar,chr,varchar,,,"Returns the character with the specified ASCII code value."
scalar,greatest,same_as_input,,,"Returns the greatest value in a list of expressions."
scalar,reverse,varchar,,,"Reverses the character order of a string."
scalar,cot,double,,,"Returns the cotangent of a number."
scalar,power,double,,,"Returns a base expression raised to the power of an exponent."
aggregate,min,same_as_input,,,"Returns the minimum value in the specified column."
aggregate,bit_xor,bigint,,,"Computes the bitwise exclusive OR of all non-null input values."
aggregate,avg,decimal,,,"Returns the average of numeric values in the specified column."
aggregate,stddev_samp,decimal,,,"Returns the sample standard deviation of a set of numbers."
aggregate,sum,decimal,,,"Returns the sum of all values in the specified column."
aggregate,bit_or,bigint,,,"Computes the bitwise OR of all non-null input values."
window,last_value,same_as_input,,,"Returns value evaluated at the row that is the last row of the window frame."
scalar,round,double,,,"Rounds a number to the nearest integer."
scalar,asin,double,,,"Returns the arc sine or inverse sine of a number."
scalar,upper,varchar,,,"Converts a string to upper-case."
scalar,position,bigint,,,"Returns the starting position of a specified substring in a string."
scalar,atan2,double,,,"Returns the arc tangent or inverse tangent of `expression_y / expression_x`."
scalar,acos,double,,,"Returns the arc cosine or inverse cosine of a number."
scalar,right,varchar,,,"Returns a specified number of characters from the right side of a string."
scalar,left,varchar,,,"Returns a specified number of characters from the left side of a string."
window,first_value,same_as_input,,,"Returns value evaluated at the row that is the first row of the window frame."
scalar,datetrunc,datetime,,,"Truncates a timestamp value to a specified precision."
