function_type,name,return_type,param_names,param_types,description,rn
scalar,atan2,,,,Returns the arc tangent or inverse tangent of `expression_y / expression_x`.,1
scalar,cbrt,,,,Returns the cube root of a number.,1
scalar,char,char,,text,convert text to char,1
scalar,chr,,,,Returns the character with the specified ASCII or Unicode code value.,1
scalar,exp,,,,Returns the base-e exponential of a number.,1
scalar,list_dims,,,,Returns an array of the array's dimensions.,1
scalar,list_positions,,,,"Searches for an element in the array, returns all occurrences.",1
scalar,list_to_string,,,,Converts each element to its text representation.,1
scalar,ln,,,,Returns the natural logarithm of a number.,1
aggregate,max,,,,Returns the maximum value in the specified column.,1
scalar,regexp_replace,,,,Replaces substrings in a string that match a [regular expression](https://docs.rs/regex/latest/regex/#syntax).,1
scalar,signum,,,,"Returns the sign of a number.
Negative numbers return `-1`.
Zero and positive numbers return `1`.",1
aggregate,string_agg,,,,Concatenates the values of string expressions and places separator values between them.,1
scalar,to_char,,,,"Returns a string representation of a date, time, timestamp or duration based on a [Chrono format](https://docs.rs/chrono/latest/chrono/format/strftime/index.html). Unlike the PostgreSQL equivalent of this function numerical formatting is not supported.",1
scalar,to_number,numeric,,"text,text",Convert string to number,1
aggregate,var_pop,,,,Returns the statistical population variance of a set of numbers.,1
scalar,abs,,,,Returns the absolute value of a number.,1
scalar,atanh,,,,Returns the area hyperbolic tangent or inverse hyperbolic tangent of a number.,1
aggregate,avg,,,,Returns the average of numeric values in the specified column.,1
scalar,ceil,,,,Returns the nearest integer greater than or equal to a number.,1
scalar,coalesce,,,,Returns the first of its arguments that is not _null_. Returns _null_ if all arguments are _null_. This function is often used to substitute a default value for _null_ values.,1
aggregate,corr,,,,Returns the coefficient of correlation between two numeric values.,1
scalar,div,numeric,,"numeric,numeric",trunc(x/y),1
scalar,dlog1,double,,double,natural logarithm,1
aggregate,every,boolean,,boolean,Equivalent to bool_and,1
scalar,host,text,,inet,Extract host from IP address,1
scalar,json_object,json,,array<text>,map text array of key value pairs to json object,1
scalar,list_extract,,,,Extracts the element with the index n from the array.,1
scalar,pg_client_encoding,name,,,Current client encoding,1
scalar,cardinality,,,,Returns the total number of elements in the array.,1
scalar,convert_to,bytea,,"text,text",Convert to encoding,1
scalar,date_part,,,,Returns the specified part of the date as an integer.,1
window,first_value,,,,Returns value evaluated at the row that is the first row of the window frame.,1
scalar,json_array_length,int,,json,Length of JSON array,1
scalar,list_position,,,,Returns the position of the first occurrence of the specified element in the array.,1
scalar,list_remove,,,,Removes the first element from the array equal to the given value.,1
scalar,pg_get_expr,text,,"pg_node_tree,oid",Decompile internal form of expression,1
