function_type,name,return_type,param_names,param_types,description
aggregate,countif,int64,,boolean,"Counts the rows where a condition is true."
aggregate,any_value,same_as_input,,"any","Returns any arbitrary value from the input values."
scalar,format,text,,"text","Formats values into a string."
scalar,safe_divide,float64,,"float64,float64","Divides two numbers, returning NULL if the divisor is zero."
scalar,safe_multiply,float64,,"float64,float64","Multiplies two numbers, returning NULL if an overflow occurs."
scalar,safe_add,float64,,"float64,float64","Adds two numbers, returning NULL if an overflow occurs."
scalar,safe_subtract,float64,,"float64,float64","Subtracts two numbers, returning NULL if an overflow occurs."
scalar,current_datetime,timestamp,,"","Returns current date and time."
scalar,date_add,date,,"date,int64","Adds a number of day to a date."
scalar,date_sub,date,,"date,interval","Subtracts a specified interval from a date."
scalar,date_diff,int64,,"date,date,granularity","Returns the difference between two dates."
scalar,datediff,int64,,"date,date,granularity","Returns the difference between two dates."
scalar,timestamp_add,timestamp,,"timestamp,granularity","Adds a specified interval to a timestamp."
scalar,timestamp_sub,timestamp,,"timestamp,granularity","Subtracts a specified interval from a timestamp."
scalar,timestamp_diff,int64,,"timestamp,timestamp,granularity","Returns the difference between two timestamps."
scalar,timestamp_trunc,timestamp,,"timestamp,granularity","Truncates a timestamp to a specified granularity."
scalar,timestamp_micros,timestamp,,"int64","Converts the number of microseconds since 1970-01-01 00:00:00 UTC to a TIMESTAMP."
scalar,timestamp_millis,timestamp,,"int64","Converts the number of milliseconds since 1970-01-01 00:00:00 UTC to a TIMESTAMP."
scalar,timestamp_seconds,timestamp,,"int64","Converts the number of seconds since 1970-01-01 00:00:00 UTC to a TIMESTAMP."
scalar,timestamp,timestamp,,"text","Converts a string to a TIMESTAMP."
scalar,format_date,string,,"string,date","Formats a date according to the specified format string."
scalar,format_timestamp,string,,"string,timestamp","Formats a timestamp according to the specified format string."
scalar,parse_date,date,,"text,text","Parses a date from a string."
scalar,parse_datetime,datetime,,"text,text","Converts a STRING value to a DATETIME value."
scalar,json_query,text,,"json,text","Extracts a JSON value from a JSON string."
scalar,json_value,text,,"json,text","Extracts a scalar JSON value as a string."
scalar,json_query_array,array,,"json,text","Extracts a JSON array from a JSON string."
scalar,json_value_array,array,,"json,text","Extracts an array of scalar JSON values as strings."
scalar,lax_bool,boolean,,"any","Converts a value to boolean with relaxed type checking."
scalar,lax_float64,float64,,"any","Converts a value to float with relaxed type checking."
scalar,lax_int64,int64,,"any","Converts a value to int with relaxed type checking."
scalar,lax_string,text,,"any","Converts a value to text with relaxed type checking."
scalar,bool,boolean,,"any","Converts a JSON value to SQL boolean type."
scalar,float64,float64,,"any","Converts a JSON value to SQL float type."
scalar,int64,int64,,"any","Converts a JSON value to SQL int type."
scalar,string,text,,"any","Converts a JSON value to SQL text type."
scalar,right,string,,,"Returns the rightmost characters from a string"
scalar,asin,float64,,,"Returns the arcsine of a value"
scalar,left,string,,,"Returns the leftmost characters from a string"
scalar,upper,string,,,"Converts a string to uppercase"
scalar,position,int64,,,"Returns the position of a substring within a string"
scalar,array_reverse,array,,,"Reverses the order of elements in an array"
scalar,sinh,float64,,,"Returns the hyperbolic sine of a value"
scalar,list_length,int64,,,"Returns the number of elements in a list"
scalar,list_cat,array,,,"Concatenates two lists"
scalar,round,float64,,,"Rounds a number to specified decimal places"
scalar,acos,float64,,,"Returns the arccosine of a value"
scalar,initcap,string,,,"Capitalizes the first letter of each word"
scalar,atan2,float64,,,"Returns the arctangent of y/x"
window,first_value,int64,,,"Returns the first value in an ordered set"
scalar,list_element,int64,,,"Returns the element at a specified position in a list"
scalar,array_extract,int64,,,"Extracts an element from an array at a specified index"
scalar,make_list,array,,,"Creates a list from multiple values"
scalar,trim,string,,,"Removes leading and trailing whitespace"
scalar,char_length,int64,,,"Returns the number of characters in a string"
scalar,sqrt,float64,,,"Returns the square root of a number"
scalar,ln,float64,,,"Returns the natural logarithm of a number"
scalar,tan,float64,,,"Returns the tangent of an angle"
scalar,nvl,string,,,"Returns the first non-null value"
scalar,map,struct,,,"Creates a map from arrays of keys and values"
scalar,log10,float64,,,"Returns the base-10 logarithm of a number"
aggregate,array_agg,array,,,"Aggregates values into an array"
aggregate,bool_or,bool,,,"Returns true if any value is true"
window,cume_dist,float64,,,"Returns the cumulative distribution of values"
window,nth_value,int64,,,"Returns the nth value in an ordered set"
scalar,octet_length,int64,,,"Returns the number of bytes in a string"
scalar,struct,struct,,,"Creates a struct from multiple values"
scalar,nullif,int64,,,"Returns null if two values are equal"
scalar,row,struct,,,"Creates a row (struct) from multiple values"
scalar,array_contains,bool,,,"Checks if an array contains a value"
scalar,replace,string,,,"Replaces occurrences of a substring"
scalar,substring,string,,,"Extracts a substring from a string"
scalar,array_slice,array,,,"Extracts a slice from an array"
scalar,today,date,,,"Returns the current date"
scalar,floor,float64,,,"Returns the largest integer less than or equal to a number"
scalar,chr,string,,,"Returns the character for a given ASCII code"
scalar,power,float64,,,"Returns a number raised to a power"
scalar,lower,string,,,"Converts a string to lowercase"
scalar,md5,string,,,"Returns the MD5 hash of a string"
scalar,list_contains,bool,,,"Checks if a list contains a value"
scalar,levenshtein,int64,,,"Returns the Levenshtein distance between two strings"
scalar,array_length,int64,,,"Returns the number of elements in an array"
scalar,array_concat,array,,,"Concatenates two arrays"
scalar,cosh,float64,,,"Returns the hyperbolic cosine of a value"
scalar,array_has,bool,,,"Checks if an array contains a value"
scalar,strpos,int64,,,"Returns the position of a substring"
scalar,cardinality,int64,,,"Returns the number of elements in an array"
scalar,reverse,string,,,"Reverses a string"
scalar,cot,float64,,,"Returns the cotangent of an angle"
scalar,greatest,int64,,,"Returns the largest value from a list of values"
scalar,signum,float64,,,"Returns the sign of a number"
scalar,tanh,float64,,,"Returns the hyperbolic tangent of a value"
scalar,length,int64,,,"Returns the length of a string"
aggregate,sum,int64,,,"Returns the sum of values"
aggregate,bit_xor,int64,,,"Returns the bitwise XOR of values"
aggregate,bit_or,int64,,,"Returns the bitwise OR of values"
aggregate,min,int64,,,"Returns the minimum value"
aggregate,avg,float64,,,"Returns the average of values"
aggregate,stddev_samp,float64,,,"Returns the sample standard deviation"
scalar,log,float64,,,"Returns the logarithm with specified base"
scalar,sin,float64,,,"Returns the sine of an angle"
scalar,atan,float64,,,"Returns the arctangent of a value"
scalar,contains,bool,,,"Checks if a string contains a substring"
scalar,least,int64,,,"Returns the smallest value from a list of values"
scalar,list_extract,int64,,,"Extracts an element from a list at a specified index"
scalar,now,timestamp,,,"Returns the current timestamp"
scalar,uuid,string,,,"Generates a random UUID"
scalar,current_time,time,,,"Returns the current time"
scalar,ends_with,bool,,,"Checks if a string ends with a suffix"
aggregate,approx_distinct,int64,,,"Returns approximate count of distinct values"
scalar,list_concat,array,,,"Concatenates two lists"
scalar,ascii,int64,,,"Returns the ASCII code of the first character"
scalar,list_reverse,array,,,"Reverses the order of elements in a list"
scalar,from_unixtime,timestamp,,,"Converts Unix timestamp to datetime"
scalar,make_array,array,,,"Creates an array from multiple values"
scalar,acosh,float64,,,"Returns the hyperbolic arccosine of a value"
scalar,character_length,int64,,,"Returns the number of characters in a string"
scalar,date_format,string,,,"Formats a date according to a format string"
scalar,starts_with,bool,,,"Checks if a string starts with a prefix"
scalar,regexp_replace,string,,,"Replaces text using regular expressions"
scalar,substr,string,,,"Extracts a substring from a string"
scalar,translate,string,,,"Translates characters in a string"
aggregate,string_agg,string,,,"Concatenates strings with a separator"
aggregate,var_pop,float64,,,"Returns the population variance"
scalar,pow,float64,,,"Returns a number raised to a power"
scalar,sha512,bytes,,,"Returns the SHA-512 hash of a string"
scalar,list_slice,array,,,"Extracts a slice from a list"
scalar,repeat,string,,,"Repeats a string a specified number of times"
scalar,regexp_like,bool,,,"Checks if a string matches a regular expression"
scalar,nvl2,string,,,"Returns one value if first is not null, another if it is null"
scalar,exp,float64,,,"Returns e raised to a power"
scalar,atanh,float64,,,"Returns the hyperbolic arctangent of a value"
scalar,asinh,float64,,,"Returns the hyperbolic arcsine of a value"
scalar,current_date,date,,,"Returns the current date"
scalar,sha256,bytes,,,"Returns the SHA-256 hash of a string"
scalar,lpad,string,,,"Pads a string on the left with specified characters"
scalar,cbrt,float64,,,"Returns the cube root of a number"
scalar,array_cat,array,,,"Concatenates two arrays"
scalar,ifnull,string,,,"Returns the first non-null value"
aggregate,covar_pop,float64,,,"Returns the population covariance"
