function_type,name,return_type,param_names,param_types,description
scalar,tan,,,,Returns the tangent of a number.
scalar,sqrt,,,,Returns the square root of a number.
scalar,trim,,,,"Trims the specified trim string from the start and end of a string. If no trim string is provided, all whitespace is removed from the start and end of the input string."
scalar,log10,,,,Returns the base-10 logarithm of a number.
scalar,nvl,,,,Returns _expression2_ if _expression1_ is NULL otherwise it returns _expression1_.
scalar,char_length,,,,Returns the number of characters in a string.
scalar,radians,,,,Converts degrees to radians.
scalar,ln,,,,Returns the natural logarithm of a number.
aggregate,bool_or,,,,"Returns true if all non-null input values are true, otherwise false."
window,nth_value,,,,Returns the value evaluated at the nth row of the window frame (counting from 1). Returns NULL if no such row exists.
scalar,regexp_replace,,,,Replaces substrings in a string that match a [regular expression](https://docs.rs/regex/latest/regex/#syntax).
scalar,date_format,,,,"Returns a string representation of a date, time, timestamp or duration based on a [Chrono format](https://docs.rs/chrono/latest/chrono/format/strftime/index.html). Unlike the PostgreSQL equivalent of this function numerical formatting is not supported."
scalar,substr,,,,Extracts a substring of a specified number of characters from a specific starting position in a string.
scalar,ascii,,,,Returns the Unicode character code of the first character in a string.
scalar,regexp_instr,,,,Returns the position in a string where the specified occurrence of a POSIX regular expression is located.
scalar,character_length,,,,Returns the number of characters in a string.
aggregate,var_samp,,,,Returns the statistical sample variance of a set of numbers.
aggregate,var_pop,,,,Returns the statistical population variance of a set of numbers.
aggregate,array_agg,,,,"Returns an array created from the expression elements. If ordering is required, elements are inserted in the specified order.
This aggregation function can only mix DISTINCT and ORDER BY if the ordering expression is exactly the same as the argument expression."
scalar,floor,,,,Returns the nearest integer less than or equal to a number.
scalar,strpos,,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0."
scalar,md5,,,,Computes an MD5 128-bit checksum for a string expression.
scalar,signum,,,,"Returns the sign of a number.
Negative numbers return `-1`.
Zero and positive numbers return `1`."
scalar,date_trunc,,,,Truncates a timestamp value to a specified precision.
scalar,lower,,,,Converts a string to lower-case.
scalar,length,,,,Returns the number of characters in a string.
scalar,chr,,,,Returns the character with the specified ASCII or Unicode code value.
scalar,greatest,,,,Returns the greatest value in a list of expressions. Returns _null_ if all expressions are _null_.
scalar,reverse,,,,Reverses the character order of a string.
scalar,cot,,,,Returns the cotangent of a number.
scalar,power,,,,Returns a base expression raised to the power of an exponent.
aggregate,min,,,,Returns the minimum value in the specified column.
aggregate,bit_xor,,,,Computes the bitwise exclusive OR of all non-null input values.
aggregate,avg,,,,Returns the average of numeric values in the specified column.
aggregate,stddev_samp,,,,Returns the standard deviation of a set of numbers.
aggregate,sum,,,,Returns the sum of all values in the specified column.
aggregate,bit_or,,,,Computes the bitwise OR of all non-null input values.
window,last_value,,,,Returns value evaluated at the row that is the last row of the window frame.
scalar,round,,,,Rounds a number to the nearest integer.
scalar,asin,,,,Returns the arc sine or inverse sine of a number.
scalar,upper,,,,Converts a string to upper-case.
scalar,position,,,,"Returns the starting position of a specified substring in a string. Positions begin at 1. If the substring does not exist in the string, the function returns 0."
scalar,atan2,,,,Returns the arc tangent or inverse tangent of `expression_y / expression_x`.
scalar,acos,,,,Returns the arc cosine or inverse cosine of a number.
