function_type,name,return_type,param_names,param_types,description
aggregate,every,boolean,,boolean,"Equivalent to bool_and"
aggregate,json_object_agg,json,,"text,any","Aggregates pairs into JSON object"
aggregate,jsonb_object_agg,jsonb,,"text,any","Aggregates pairs into JSONB object"
aggregate,xmlagg,xml,,xml,"Concatenates XML values"
aggregate,every,boolean,"",boolean,boolean-and aggregate
aggregate,json_agg,json,"",any,aggregate input into json
aggregate,percentile_disc,any,"","double precision,any",discrete percentile
scalar,age,interval,,"timestamp,timestamp","Difference between timestamps"
scalar,array_lower,int,,"array,integer","Lower bound of array"
scalar,array_to_json,json,,array,"Convert array to JSON"
scalar,array_upper,int,,"array,integer","Upper bound of array"
scalar,convert_from,text,,"bytea,text","Convert from encoding"
scalar,convert_to,bytea,,"text,text","Convert to encoding"
scalar,extract,numeric,,"text,timestamp","Get subfield from date/time"
scalar,format,text,,"text,array<any>","Format string"
scalar,host,text,,inet,"Extract host from IP address"
scalar,isfinite,boolean,,timestamp,"Test for finite date/timestamp/interval"
scalar,json_object,json,"",array<text>,map text array of key value pairs to json object
scalar,json_typeof,text,"",json,get the type of a json value
scalar,json_array_length,int,,json,"Length of JSON array"
scalar,json_extract_path,json,,"json,array<text>","Get JSON object at path"
scalar,json_object_keys,array<text>,,json,"Get JSON object keys"
scalar,jsonb_array_length,int,,jsonb,"Length of JSONB array"
scalar,jsonb_extract_path,jsonb,,"jsonb,array<text>","Get JSONB object at path"
scalar,jsonb_object_keys,array<text>,,jsonb,"Get JSONB object keys"
scalar,jsonb_subscript_handler,internal,"",internal,jsonb subscripting logic
scalar,jsonb_typeof,text,"",jsonb,get the type of a jsonb value
scalar,justify_days,interval,"",interval,promote groups of 30 days to numbers of months
scalar,justify_hours,interval,"",interval,promote groups of 24 hours to numbers of days
scalar,justify_interval,interval,"",interval,promote groups of 24 hours to numbers of days and promote groups of 30 days to numbers of months
scalar,mod,numeric,,"numeric,numeric","Modulo (remainder)"
scalar,parse_ident,array<text>,,"text,boolean","Parse qualified identifier"
scalar,pg_client_encoding,name,,,"Current client encoding"
scalar,pg_get_expr,text,,"pg_node_tree,oid","Decompile internal form of expression"
scalar,pg_get_viewdef,text,,"oid","Get view definition"
scalar,quote_ident,text,,text,"Quote identifier"
scalar,quote_literal,text,,any,"Quote literal"
scalar,quote_nullable,text,,any,"Quote nullable"
scalar,regexp_split_to_array,array<text>,,"text,text","Split string by pattern"
scalar,regexp_split_to_table,array<text>,,"text,text","Split string by pattern"
scalar,sign,numeric,,numeric,"Sign of number"
scalar,to_json,json,,boolean,"Convert to JSON"
scalar,to_number,numeric,,"text,text","Convert string to number"
scalar,unistr,varchar,,text,"Postgres: Evaluate escaped Unicode characters in the argument"
scalar,pg_sleep,,,"bigint","Sleep for specified time in seconds"
scalar,area,double precision,"",circle,area of circle
scalar,ceiling,numeric,"",numeric,nearest integer >= value
scalar,char,"""char""","",text,convert text to char
scalar,div,numeric,"","numeric,numeric",trunc(x/y)
scalar,dlog1,double precision,"",double precision,natural logarithm
scalar,dlog10,double precision,"",double precision,base 10 logarithm
scalar,is_normalized,boolean,"","text,text",check Unicode normalization
scalar,overlaps,boolean,"","time without time zone,time without time zone,time without time zone,time without time zone",intervals overlap?
scalar,overlay,text,"","text,text,integer",substitute portion of string
scalar,regexp_instr,integer,"","text,text,integer,integer",position of regexp match
scalar,regexp_matches,array<text>,"","text,text,text",find match(es) for regexp
scalar,regexp_split_to_array,array<text>,"","text,text,text",split string by pattern
scalar,regexp_split_to_table,text,"","text,text",split string by pattern
scalar,regexp_substr,text,"","text,text",extract substring that matches regexp
scalar,tand,double precision,"",double precision,"tangent, degrees"
scalar,to_ascii,text,"","text,name",encode text from encoding to ASCII text
scalar,to_json,json,"",any,map input to json
scalar,to_jsonb,jsonb,"",any,map input to jsonb
scalar,to_number,numeric,"","text,text",convert text to numeric
scalar,regexp_count,,,,Returns the number of matches that a [regular expression](https://docs.rs/regex/latest/regex/#syntax) has in a string.
scalar,array_union,,,,Returns an array of elements that are present in both arrays (all elements from both arrays) with out duplicates.
scalar,uuid,,,,Returns [`UUID v4`](https://en.wikipedia.org/wiki/Universally_unique_identifier#Version_4_(random)) string value which is unique per row.
scalar,substr_index,,,,"Returns the substring from str before count occurrences of the delimiter delim.
If count is positive, everything to the left of the final delimiter (counting from the left) is returned.
If count is negative, everything to the right of the final delimiter (counting from the right) is returned."
scalar,atan,,,,Returns the arc tangent or inverse tangent of a number.
scalar,log,,,,"Returns the base-x logarithm of a number. Can either provide a specified base, or if omitted then takes the base-10 of a number."
scalar,current_time,,,,"
Returns the current UTC time.

The `current_time()` return value is determined at query time and will return the same time, no matter when in the query plan the function executes.
"
scalar,array_join,,,,Converts each element to its text representation.
scalar,sin,,,,Returns the sine of a number.
scalar,now,,,,"
Returns the current UTC timestamp.

The `now()` return value is determined at query time and will return the same timestamp, no matter when in the query plan the function executes.
"
scalar,iszero,,,,Returns true if a given number is +0.0 or -0.0 otherwise returns false.
scalar,list_extract,,,,Extracts the element with the index n from the array.
scalar,ends_with,,,,Tests if a string ends with a substring.
scalar,least,,,,Returns the smallest value in a list of expressions. Returns _null_ if all expressions are _null_.
scalar,contains,,,,Return true if search_str is found within string (case-sensitive).
scalar,array_position,,,,Returns the position of the first occurrence of the specified element in the array.
scalar,decode,,,,Decode binary data from textual representation in string.
scalar,list_distance,,,,Returns the Euclidean distance between two input arrays of equal length.
scalar,degrees,,,,Converts radians to degrees.
aggregate,var,,,,Returns the statistical sample variance of a set of numbers.
aggregate,approx_distinct,,,,Returns the approximate number of distinct input values calculated using the HyperLogLog algorithm.
scalar,concat_ws,,,,Concatenates multiple strings together with a specified separator.
